month,headcount_end,headcount_begin,headcount_avg,hires,leaves,leaves_vol,leaves_invol,turnover_rate,hc_budget_total,occupancy_rate,total_cost,cost_per_capita
2025-01,3642,3600,3621.0,129,87,53,34,0.024027,4004,0.90959,167478291.9,46251.94
2025-02,3681,3642,3661.5,118,79,49,30,0.021576,4073,0.903756,87815417.1,23983.45
2025-03,3751,3681,3716.0,182,112,69,43,0.03014,4127,0.908893,89525888.99,24092.0
2025-04,3808,3751,3779.5,146,89,49,40,0.023548,4202,0.906235,91137909.56,24113.75
2025-05,3853,3808,3830.5,133,88,46,42,0.022974,4263,0.903824,92265028.93,24086.94
2025-06,3907,3853,3880.0,146,92,50,42,0.023711,4317,0.905027,98545979.07,25398.45
2025-07,3921,3907,3914.0,98,84,49,35,0.021461,4254,0.921721,93903871.06,23991.79
2025-08,3952,3921,3936.5,106,75,42,33,0.019052,4288,0.921642,94527720.71,24013.14
2025-09,3999,3952,3975.5,153,106,66,40,0.026663,4319,0.925909,95433015.97,24005.29
2025-10,4030,3999,4014.5,117,86,51,35,0.021422,4376,0.920932,96377356.67,24007.31
2025-11,4065,4030,4047.5,118,83,46,37,0.020506,4389,0.926179,97422887.67,24069.89
2025-12,4105,4065,4085.0,146,106,63,43,0.025949,4446,0.923302,104161966.03,25498.65
