cost_id,employee_id,month,dept_id,level_code,cost_center,base_salary,bonus,overtime_pay,social_security_co,housing_fund_co,other_cost,total_cost
1,E00001,2025-01,D01,L1,D01,8700.0,10956.78,189.26,1740.0,1044.0,165.96,22796.0
2,E00003,2025-01,D01,L2,D01,10100.0,6013.01,318.46,2020.0,1212.0,262.21,19925.68
3,E00004,2025-01,D03,L4,D03,18400.0,26681.97,114.19,3680.0,2208.0,83.6,51167.76
4,E00005,2025-01,D01,L3,D01,16600.0,8334.72,521.18,3320.0,1992.0,208.59,30976.49
5,E00006,2025-01,D01,L5,D01,33000.0,43003.82,481.92,6600.0,3960.0,168.84,87214.58
6,E00007,2025-01,D11,L2,D11,10100.0,17701.99,158.77,2020.0,1212.0,353.49,31546.25
7,E00008,2025-01,D03,L1,D03,6700.0,9333.49,115.54,1340.0,804.0,338.38,18631.41
8,E00009,2025-01,D01,L4,D01,22300.0,34499.05,748.1,4460.0,2676.0,207.0,64890.15
9,E00010,2025-01,D02,L4,D02,22100.0,15516.31,362.41,4420.0,2652.0,137.81,45188.53
10,E00011,2025-01,D11,L1,D11,7600.0,13651.15,147.94,1520.0,912.0,165.71,23996.8
11,E00012,2025-01,D11,L6,D11,42500.0,81555.63,644.77,8500.0,5100.0,241.45,138541.85
12,E00013,2025-01,D01,L2,D01,12600.0,20374.32,600.19,2520.0,1512.0,237.92,37844.43
13,E00014,2025-01,D01,L3,D01,14400.0,15161.24,111.78,2880.0,1728.0,215.05,34496.07
14,E00015,2025-01,D11,L2,D11,9400.0,5823.67,158.61,1880.0,1128.0,89.19,18479.47
15,E00016,2025-01,D03,L2,D03,10400.0,18415.41,414.11,2080.0,1248.0,91.43,32648.95
16,E00017,2025-01,D01,L5,D01,25700.0,29315.55,176.07,5140.0,3084.0,262.65,63678.27
17,E00018,2025-01,D12,L1,D12,7700.0,10423.65,121.63,1540.0,924.0,139.41,20848.69
18,E00019,2025-01,D11,L3,D11,16200.0,32357.64,136.54,3240.0,1944.0,318.89,54197.07
19,E00020,2025-01,D11,L1,D11,8300.0,6659.07,69.56,1660.0,996.0,292.35,17976.98
20,E00021,2025-01,D01,L2,D01,10100.0,17268.44,528.28,2020.0,1212.0,342.46,31471.18
21,E00022,2025-01,D01,L3,D01,16400.0,16685.97,664.07,3280.0,1968.0,185.91,39183.95
22,E00023,2025-01,D11,L4,D11,22900.0,32605.53,326.69,4580.0,2748.0,56.61,63216.83
23,E00024,2025-01,D05,L1,D05,8200.0,4680.06,133.29,1640.0,984.0,147.35,15784.7
24,E00025,2025-01,D04,L1,D04,8800.0,5931.09,121.62,1760.0,1056.0,151.01,17819.72
25,E00026,2025-01,D11,L5,D11,30900.0,42144.09,111.74,6180.0,3708.0,312.38,83356.21
26,E00027,2025-01,D11,L3,D11,18200.0,19484.8,347.66,3640.0,2184.0,72.82,43929.28
27,E00028,2025-01,D06,L2,D06,11700.0,19938.71,144.33,2340.0,1404.0,90.11,35617.15
28,E00029,2025-01,D01,L2,D01,12200.0,18053.99,572.25,2440.0,1464.0,385.35,35115.59
29,E00030,2025-01,D01,L2,D01,12900.0,23225.02,227.08,2580.0,1548.0,389.61,40869.71
30,E00031,2025-01,D03,L2,D03,12900.0,9573.31,664.35,2580.0,1548.0,345.15,27610.81
31,E00032,2025-01,D03,L1,D03,8500.0,16010.13,60.87,1700.0,1020.0,126.3,27417.3
32,E00033,2025-01,D01,L2,D01,12000.0,12889.03,657.74,2400.0,1440.0,277.75,29664.52
33,E00034,2025-01,D05,L2,D05,10800.0,10202.3,647.0,2160.0,1296.0,369.33,25474.63
34,E00035,2025-01,D08,L3,D08,14400.0,22050.84,7.05,2880.0,1728.0,235.17,41301.06
35,E00036,2025-01,D06,L3,D06,17300.0,17802.55,117.7,3460.0,2076.0,278.88,41035.13
36,E00037,2025-01,D03,L4,D03,21700.0,29076.54,210.78,4340.0,2604.0,145.63,58076.95
37,E00039,2025-01,D01,L4,D01,19900.0,16173.34,796.25,3980.0,2388.0,374.73,43612.32
38,E00040,2025-01,D03,L2,D03,9300.0,14739.45,557.75,1860.0,1116.0,370.5,27943.7
39,E00041,2025-01,D03,L4,D03,22400.0,43975.27,152.48,4480.0,2688.0,116.77,73812.52
40,E00042,2025-01,D01,L5,D01,34500.0,20830.1,1481.2,6900.0,4140.0,192.97,68044.27
41,E00043,2025-01,D01,L4,D01,21000.0,29324.57,1143.21,4200.0,2520.0,118.73,58306.51
42,E00044,2025-01,D01,L6,D01,35000.0,30346.7,579.3,7000.0,4200.0,248.44,77374.44
43,E00045,2025-01,D01,L3,D01,17400.0,17854.42,128.73,3480.0,2088.0,266.0,41217.15
44,E00046,2025-01,D10,L4,D10,18600.0,24690.48,294.64,3720.0,2232.0,279.93,49817.05
45,E00047,2025-01,D02,L3,D02,15100.0,18802.09,248.79,3020.0,1812.0,218.67,39201.55
46,E00048,2025-01,D09,L4,D09,25700.0,18936.07,27.52,5140.0,3084.0,130.5,53018.09
47,E00049,2025-01,D01,L3,D01,17000.0,22847.51,507.66,3400.0,2040.0,92.26,45887.43
48,E00050,2025-01,D04,L1,D04,6600.0,8376.84,89.63,1320.0,792.0,99.6,17278.07
49,E00051,2025-01,D03,L2,D03,10000.0,17686.54,442.39,2000.0,1200.0,303.52,31632.45
50,E00052,2025-01,D07,L1,D07,6900.0,7853.61,57.44,1380.0,828.0,375.22,17394.27
