event_id,employee_id,event_type,event_date,event_month,from_dept,to_dept,from_level,to_level,reason_code,note
EV000001,E00001,hire,2020-09-23,2020-09,,D01,,L1,,
EV000002,E00002,hire,2024-12-08,2024-12,,D06,,L4,,
EV000003,E00003,hire,2024-05-21,2024-05,,D01,,L2,,
EV000004,E00004,hire,2020-10-19,2020-10,,D03,,L4,,
EV000005,E00005,hire,2024-05-06,2024-05,,D01,,L3,,
EV000006,E00006,hire,2020-03-31,2020-03,,D01,,L5,,
EV000007,E00007,hire,2019-12-17,2019-12,,D11,,L2,,
EV000008,E00008,hire,2024-01-14,2024-01,,D03,,L1,,
EV000009,E00009,hire,2021-09-05,2021-09,,D01,,L4,,
EV000010,E00010,hire,2019-11-30,2019-11,,D02,,L4,,
EV000011,E00011,hire,2017-06-25,2017-06,,D11,,L1,,
EV000012,E00012,hire,2024-09-15,2024-09,,D11,,L6,,
EV000013,E00013,hire,2021-08-14,2021-08,,D01,,L2,,
EV000014,E00014,hire,2021-03-14,2021-03,,D01,,L3,,
EV000015,E00015,hire,2021-08-03,2021-08,,D11,,L2,,
EV000016,E00016,hire,2020-07-17,2020-07,,D03,,L2,,
EV000017,E00017,hire,2023-08-26,2023-08,,D01,,L5,,
EV000018,E00018,hire,2022-10-11,2022-10,,D12,,L1,,
EV000019,E00019,hire,2021-06-13,2021-06,,D11,,L3,,
EV000020,E00020,hire,2024-10-25,2024-10,,D11,,L1,,
EV000021,E00021,hire,2021-02-03,2021-02,,D01,,L2,,
EV000022,E00022,hire,2022-04-29,2022-04,,D01,,L3,,
EV000023,E00023,hire,2024-10-18,2024-10,,D11,,L4,,
EV000024,E00024,hire,2018-04-26,2018-04,,D05,,L1,,
EV000025,E00025,hire,2022-01-25,2022-01,,D04,,L1,,
EV000026,E00026,hire,2017-08-10,2017-08,,D11,,L5,,
EV000027,E00027,hire,2018-02-06,2018-02,,D11,,L3,,
EV000028,E00028,hire,2019-10-07,2019-10,,D06,,L2,,
EV000029,E00029,hire,2024-11-17,2024-11,,D01,,L2,,
