hc_id,dept_id,level_code,month,hc_budget,hc_actual
1,D01,L1,2025-01,290,267
2,D01,L2,2025-01,251,218
3,D03,L4,2025-01,71,62
4,D01,L3,2025-01,204,179
5,D01,L5,2025-01,105,91
6,D11,L2,2025-01,71,64
7,D03,L1,2025-01,160,144
8,D01,L4,2025-01,196,173
9,D02,L4,2025-01,60,56
10,D11,L1,2025-01,85,76
11,D11,L6,2025-01,12,11
12,D03,L2,2025-01,130,120
13,D12,L1,2025-01,75,73
14,D11,L3,2025-01,58,54
15,D11,L4,2025-01,53,48
16,D05,L1,2025-01,72,69
17,D04,L1,2025-01,53,48
18,D11,L5,2025-01,41,38
19,D06,L2,2025-01,57,54
20,D05,L2,2025-01,65,62
21,D08,L3,2025-01,30,26
22,D06,L3,2025-01,45,43
23,D01,L6,2025-01,94,82
24,D10,L4,2025-01,14,13
25,D02,L3,2025-01,88,78
26,D09,L4,2025-01,20,19
27,D07,L1,2025-01,32,30
28,D12,L2,2025-01,54,51
29,D04,L3,2025-01,52,46
30,D05,L3,2025-01,59,52
31,D02,L1,2025-01,120,111
32,D12,L4,2025-01,39,34
33,D02,L6,2025-01,34,30
34,D04,L2,2025-01,51,49
35,D02,L2,2025-01,96,87
36,D06,L5,2025-01,27,26
37,D08,L1,2025-01,42,38
38,D05,L4,2025-01,36,33
39,D08,L4,2025-01,24,23
40,D07,L4,2025-01,22,21
41,D12,L6,2025-01,17,16
42,D06,L1,2025-01,83,76
43,D10,L3,2025-01,12,12
44,D09,L2,2025-01,22,21
45,D04,L7,2025-01,5,5
46,D03,L5,2025-01,49,45
47,D01,L7,2025-01,21,19
48,D12,L3,2025-01,53,48
49,D05,L5,2025-01,23,22
50,D07,L2,2025-01,30,29
51,D10,L1,2025-01,16,15
52,D07,L3,2025-01,34,33
53,D05,L6,2025-01,19,17
54,D06,L6,2025-01,19,18
55,D03,L3,2025-01,98,88
56,D06,L4,2025-01,42,40
57,D12,L7,2025-01,8,7
58,D08,L2,2025-01,27,25
59,D09,L1,2025-01,26,23
60,D07,L7,2025-01,10,9
61,D04,L5,2025-01,23,22
62,D03,L6,2025-01,29,25
63,D11,L7,2025-01,6,5
64,D08,L6,2025-01,13,12
65,D03,L7,2025-01,10,9
66,D02,L5,2025-01,44,39
67,D04,L4,2025-01,39,36
68,D10,L2,2025-01,12,11
69,D04,L6,2025-01,9,8
70,D05,L7,2025-01,3,3
71,D09,L3,2025-01,18,17
72,D10,L6,2025-01,7,6
73,D09,L6,2025-01,8,7
74,D12,L5,2025-01,19,18
75,D08,L5,2025-01,8,8
76,D02,L7,2025-01,6,5
77,D07,L5,2025-01,13,12
78,D07,L6,2025-01,13,12
79,D06,L7,2025-01,4,4
80,D09,L5,2025-01,8,7
81,D10,L5,2025-01,8,7
82,D09,L7,2025-01,1,1
83,D08,L7,2025-01,1,1
84,D01,L1,2025-02,310,266
85,D03,L4,2025-02,72,62
86,D01,L3,2025-02,204,182
87,D01,L5,2025-02,101,92
88,D11,L2,2025-02,67,62
89,D03,L1,2025-02,157,141
90,D01,L4,2025-02,198,175
91,D02,L4,2025-02,63,59
92,D11,L1,2025-02,82,77
93,D11,L6,2025-02,12,11
94,D01,L2,2025-02,257,218
95,D03,L2,2025-02,135,124
96,D12,L1,2025-02,80,73
97,D11,L3,2025-02,61,56
98,D11,L4,2025-02,50,47
99,D05,L1,2025-02,79,73
100,D04,L1,2025-02,55,50
101,D11,L5,2025-02,45,40
102,D06,L2,2025-02,64,59
103,D05,L2,2025-02,68,62
104,D08,L3,2025-02,29,26
105,D06,L3,2025-02,46,45
106,D01,L6,2025-02,94,82
107,D10,L4,2025-02,14,13
108,D02,L3,2025-02,86,78
109,D09,L4,2025-02,20,19
110,D07,L1,2025-02,33,30
111,D12,L2,2025-02,54,48
112,D05,L3,2025-02,56,53
113,D02,L1,2025-02,118,109
114,D02,L6,2025-02,32,29
115,D04,L2,2025-02,51,49
116,D02,L2,2025-02,100,90
117,D06,L5,2025-02,28,25
118,D08,L1,2025-02,46,41
119,D05,L4,2025-02,37,36
120,D08,L4,2025-02,25,22
121,D07,L4,2025-02,24,22
122,D12,L6,2025-02,19,17
123,D06,L1,2025-02,86,79
124,D10,L3,2025-02,12,11
125,D09,L2,2025-02,23,21
126,D04,L7,2025-02,7,6
127,D03,L5,2025-02,50,44
128,D01,L7,2025-02,23,20
129,D12,L3,2025-02,48,46
130,D04,L3,2025-02,49,45
131,D05,L5,2025-02,24,23
132,D12,L4,2025-02,36,33
133,D07,L2,2025-02,32,30
134,D10,L1,2025-02,15,14
135,D07,L3,2025-02,39,35
136,D05,L6,2025-02,18,17
137,D06,L6,2025-02,19,18
138,D03,L3,2025-02,98,88
139,D06,L4,2025-02,46,42
140,D12,L7,2025-02,8,7
141,D08,L2,2025-02,28,27
142,D09,L1,2025-02,27,25
143,D07,L7,2025-02,10,9
144,D04,L5,2025-02,23,22
145,D03,L6,2025-02,26,24
146,D11,L7,2025-02,5,4
147,D08,L6,2025-02,15,13
148,D02,L5,2025-02,45,41
149,D04,L4,2025-02,39,37
150,D10,L2,2025-02,12,11
151,D04,L6,2025-02,12,11
152,D05,L7,2025-02,3,3
153,D09,L3,2025-02,17,16
154,D10,L6,2025-02,7,6
155,D09,L6,2025-02,9,8
156,D12,L5,2025-02,20,18
157,D08,L5,2025-02,10,9
158,D02,L7,2025-02,6,5
159,D07,L5,2025-02,13,12
160,D07,L6,2025-02,12,11
161,D09,L5,2025-02,10,9
162,D06,L7,2025-02,3,3
163,D03,L7,2025-02,8,7
164,D10,L5,2025-02,6,6
165,D09,L7,2025-02,1,1
166,D08,L7,2025-02,1,1
167,D01,L1,2025-03,319,275
168,D03,L4,2025-03,66,60
169,D01,L3,2025-03,217,192
170,D01,L5,2025-03,108,93
171,D11,L2,2025-03,70,67
172,D03,L1,2025-03,157,145
173,D01,L4,2025-03,198,175
174,D02,L4,2025-03,61,58
175,D11,L1,2025-03,82,78
176,D11,L6,2025-03,13,12
177,D01,L2,2025-03,248,222
178,D03,L2,2025-03,142,123
179,D12,L1,2025-03,74,70
180,D11,L3,2025-03,60,57
181,D11,L4,2025-03,49,47
182,D05,L1,2025-03,83,79
183,D04,L1,2025-03,56,53
184,D11,L5,2025-03,48,42
185,D06,L2,2025-03,64,57
186,D05,L2,2025-03,72,65
187,D08,L3,2025-03,29,26
188,D06,L3,2025-03,51,46
189,D01,L6,2025-03,91,82
190,D10,L4,2025-03,16,15
191,D02,L3,2025-03,86,83
192,D09,L4,2025-03,21,20
193,D07,L1,2025-03,33,30
194,D02,L1,2025-03,114,108
195,D02,L6,2025-03,31,29
196,D04,L2,2025-03,58,51
197,D02,L2,2025-03,102,91
198,D06,L5,2025-03,24,23
199,D08,L1,2025-03,45,43
200,D05,L4,2025-03,37,34
201,D08,L4,2025-03,26,24
202,D07,L4,2025-03,26,23
203,D12,L6,2025-03,20,18
204,D06,L1,2025-03,90,83
205,D10,L3,2025-03,13,12
206,D09,L2,2025-03,27,24
207,D04,L7,2025-03,6,6
208,D03,L5,2025-03,49,42
209,D01,L7,2025-03,28,24
210,D12,L3,2025-03,49,44
211,D05,L3,2025-03,53,51
212,D04,L3,2025-03,52,47
213,D05,L5,2025-03,25,23
214,D12,L4,2025-03,34,33
215,D07,L2,2025-03,34,32
216,D10,L1,2025-03,15,14
217,D05,L6,2025-03,19,18
218,D06,L6,2025-03,22,20
219,D03,L3,2025-03,95,87
220,D06,L4,2025-03,49,45
221,D12,L7,2025-03,7,6
222,D08,L2,2025-03,31,27
223,D09,L1,2025-03,27,25
224,D07,L7,2025-03,10,9
225,D04,L5,2025-03,23,22
226,D03,L6,2025-03,29,26
227,D11,L7,2025-03,4,4
228,D08,L6,2025-03,14,13
229,D12,L2,2025-03,50,46
230,D07,L3,2025-03,37,34
231,D02,L5,2025-03,44,40
