snapshot_id,snapshot_month,snapshot_date,employee_id,dept_id,level_code,status,gender,age_band,tenure_band,is_key_talent,is_probation,base_salary
1,2025-01,2025-01-31,E00001,D01,L1,active,女,35-39,3-5年,0,0,8700.0
2,2025-01,2025-01-31,E00003,D01,L2,active,男,25-29,3-12月,0,0,10100.0
3,2025-01,2025-01-31,E00004,D03,L4,active,女,35-39,3-5年,0,0,18400.0
4,2025-01,2025-01-31,E00005,D01,L3,active,男,30-34,3-12月,0,0,16600.0
5,2025-01,2025-01-31,E00006,D01,L5,active,女,45岁及以上,3-5年,0,0,33000.0
6,2025-01,2025-01-31,E00007,D11,L2,active,女,25-29,5年+,0,0,10100.0
7,2025-01,2025-01-31,E00008,D03,L1,active,男,40-44,1-3年,0,0,6700.0
8,2025-01,2025-01-31,E00009,D01,L4,active,女,40-44,3-5年,1,0,22300.0
9,2025-01,2025-01-31,E00010,D02,L4,active,女,35-39,5年+,1,0,22100.0
10,2025-01,2025-01-31,E00011,D11,L1,active,女,30-34,5年+,0,0,7600.0
11,2025-01,2025-01-31,E00012,D11,L6,active,女,25-29,3-12月,0,0,42500.0
12,2025-01,2025-01-31,E00013,D01,L2,active,女,25-29,3-5年,0,0,12600.0
13,2025-01,2025-01-31,E00014,D01,L3,active,男,40-44,3-5年,0,0,14400.0
14,2025-01,2025-01-31,E00015,D11,L2,active,女,35-39,3-5年,1,0,9400.0
15,2025-01,2025-01-31,E00016,D03,L2,active,男,40-44,3-5年,0,0,10400.0
16,2025-01,2025-01-31,E00017,D01,L5,active,女,40-44,1-3年,0,0,25700.0
17,2025-01,2025-01-31,E00018,D12,L1,active,男,35-39,1-3年,0,0,7700.0
18,2025-01,2025-01-31,E00019,D11,L3,active,男,30-34,3-5年,0,0,16200.0
19,2025-01,2025-01-31,E00020,D11,L1,active,男,45岁及以上,3-12月,0,0,8300.0
20,2025-01,2025-01-31,E00021,D01,L2,active,男,30-34,3-5年,0,0,10100.0
21,2025-01,2025-01-31,E00022,D01,L3,active,男,25-29,1-3年,0,0,16400.0
22,2025-01,2025-01-31,E00023,D11,L4,active,男,35-39,3-12月,1,1,22900.0
23,2025-01,2025-01-31,E00024,D05,L1,active,男,45岁及以上,5年+,0,0,8200.0
24,2025-01,2025-01-31,E00025,D04,L1,active,男,25-29,3-5年,0,0,8800.0
25,2025-01,2025-01-31,E00026,D11,L5,active,女,40-44,5年+,0,0,30900.0
26,2025-01,2025-01-31,E00027,D11,L3,active,女,35-39,5年+,1,0,18200.0
27,2025-01,2025-01-31,E00028,D06,L2,active,女,30-34,5年+,0,0,11700.0
28,2025-01,2025-01-31,E00029,D01,L2,active,男,30-34,0-3月,1,1,12200.0
29,2025-01,2025-01-31,E00030,D01,L2,active,女,30-34,5年+,0,0,12900.0
30,2025-01,2025-01-31,E00031,D03,L2,active,女,25-29,1-3年,0,0,12900.0
